Issue Type,Issue key,Issue id,Summary,Status,Custom field (EDS equivalent table),Custom field (EDW table replaced with external table?),Custom field (EDW table),Custom field (Validation details (optional))
Task,EDSMIG-6566,421036,prod_ml.dre_email_mailspin_hi_touch_pre_split - Phase 1,To Do,,,prod_ml.dre_email_mailspin_hi_touch_pre_split,
Task,EDSMIG-6567,421037,prod_ml.dre_email_mailspin_hi_touch_split_archive - Phase 1,To Do,,,prod_ml.dre_email_mailspin_hi_touch_split_archive,
Task,EDSMIG-6568,421038,prod_ml.dre_email_sends - Phase 1,To Do,,,prod_ml.dre_email_sends,
Task,EDSMIG-6569,421039,prod_ml.dre_email_sfmc_staging - Phase 1,To Do,,,prod_ml.dre_email_sfmc_staging,
Task,EDSMIG-6570,421040,prod_ml.dre_email_weekly_schedule - Phase 1,To Do,,,prod_ml.dre_email_weekly_schedule,
Task,EDSMIG-6571,421041,prod_ml.dre_email_weekly_schedule_staging - Phase 1,To Do,,,prod_ml.dre_email_weekly_schedule_staging,
Task,EDSMIG-6572,421042,prod_ml.dre_embargoed_programs - Phase 1,To Do,,,prod_ml.dre_embargoed_programs,
Task,EDSMIG-6573,421043,prod_ml.dre_find_latest_allocation - Phase 1,To Do,,,prod_ml.dre_find_latest_allocation,
Task,EDSMIG-6574,421044,prod_ml.dre_inferred_enollments_daily_scores - Phase 1,To Do,,,prod_ml.dre_inferred_enollments_daily_scores,
Task,EDSMIG-6575,421045,prod_ml.dre_inferred_enollments_scores - Phase 1,To Do,,,prod_ml.dre_inferred_enollments_scores,
