edw_table,eds_equivalent_table,Status,is_table_replaced,issue_key,eds_base_table,table,key_cols
coursera_warehouse.edw_prod.mega_authoring_course_branch_required_elements,prod.silver.courral_authoring_course_branch_required_elements_vw,Done,No,EDSMIG-5692,prod.silver_base.courral_authoring_course_branch_required_elements,courral_authoring_course_branch_required_elements,"['doc_key', 'required_element_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_published_module_ids,prod.general.stg_course_branch_published_module_ids_vw,Done,No,EDSMIG-5689,prod.general.stg_course_branch_published_module_ids,,
coursera_warehouse.edw_prod.mega_authoring_course_branch_published_lesson_ids,prod.general.stg_course_branch_lesson_elements_vw,Done,No,EDSMIG-5688,prod.general.stg_course_branch_lesson_elements,,
coursera_warehouse.edw_prod.mega_authoring_course_branch_modules,prod.silver.courral_authoring_course_branch_modules_vw,Done,No,EDSMIG-5687,prod.silver_base.courral_authoring_course_branch_modules,courral_authoring_course_branch_modules,"['doc_key', 'module_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_module_order,prod.silver.courral_authoring_course_branch_module_order_vw,Done,No,EDSMIG-5686,prod.silver_base.courral_authoring_course_branch_module_order,courral_authoring_course_branch_module_order,"['doc_key', 'module_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_mappings,prod.silver.courral_authoring_course_branch_id_map_vw,Done,No,EDSMIG-5685,prod.silver_base.courral_authoring_course_branch_id_map,courral_authoring_course_branch_id_map,"['doc_key', 'authoring_course_branch_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_lessons,prod.silver.courral_authoring_course_branch_lessons_vw,Done,No,EDSMIG-5684,prod.silver_base.courral_authoring_course_branch_lessons,courral_authoring_course_branch_lessons,"['doc_key', 'lesson_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_lesson_order,prod.silver.courral_authoring_course_branch_lesson_order_vw,Done,No,EDSMIG-5683,prod.silver_base.courral_authoring_course_branch_lesson_order,courral_authoring_course_branch_lesson_order,"['doc_key', 'module_id', 'lesson_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_lesson_elements,prod.silver.courral_authoring_course_branch_lesson_elements_vw,Done,No,EDSMIG-5682,prod.silver_base.courral_authoring_course_branch_lesson_elements,courral_authoring_course_branch_lesson_elements,"['doc_key', 'lesson_element_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_items,prod.silver.courral_authoring_course_branch_items_vw,Done,No,EDSMIG-5681,prod.silver_base.courral_authoring_course_branch_items,courral_authoring_course_branch_items,"['doc_key', 'item_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_id_map,prod.silver.courral_authoring_course_branch_id_map_vw,Done,No,EDSMIG-5680,prod.silver_base.courral_authoring_course_branch_id_map,courral_authoring_course_branch_id_map,"['doc_key', 'authoring_course_branch_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_honors_lessons,prod.silver.courral_authoring_course_branch_honors_lessons_vw,Done,No,EDSMIG-5679,prod.silver_base.courral_authoring_course_branch_honors_lessons,courral_authoring_course_branch_honors_lessons,"['doc_key', 'honors_lesson_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_grading_weights,prod.silver.courral_authoring_course_branch_grading_weights_vw,Done,No,EDSMIG-5678,prod.silver_base.courral_authoring_course_branch_grading_weights,courral_authoring_course_branch_grading_weights,"['doc_key', 'item_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_grading_policies,prod.silver.courral_authoring_course_branch_grading_policies_vw,Done,No,EDSMIG-5677,prod.silver_base.courral_authoring_course_branch_grading_policies,courral_authoring_course_branch_grading_policies,"['doc_key', 'grading_policy']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_grading_late_penalties,prod.silver.courral_authoring_course_branch_grading_late_penalties_vw,Done,No,EDSMIG-5676,prod.silver_base.courral_authoring_course_branch_grading_late_penalties,courral_authoring_course_branch_grading_late_penalties,"['doc_key', 'item_id']"
coursera_warehouse.edw_prod.mega_authoring_course_branch_graded_assignment_groups_items,prod.silver.courral_authoring_course_branch_graded_assignment_group_items_vw,Done,No,EDSMIG-5675,prod.silver_base.courral_authoring_course_branch_graded_assignment_group_items,courral_authoring_course_branch_graded_assignment_group_items,"['doc_key', 'graded_assignment_group_id', 'graded_assignment_group_item_id']"
